name,condition,trending_price_type,trending_price_amount,price,shipping_cost,items_left,watching
New ListingBlue Yeti Professional Multi-Pattern USB Condenser Microphone - Blackout,Pre-Owned,,,$50.00,,,
Marantz Professional MPM-2000U USB Studio-Quality Condenser Microphone ,Brand New,,,$70.00,,,
Blue Microphones Yeti Blackout Edition USB Condenser Professional Microphone,Refurbished,,,$91.00,,,
AKG Perception 120 USB Condenser Cable Professional Microphone,Brand New,,,$89.00,,,
Professional Studio Broadcasting Condenser Microphone Recording Stand Mount Kit,Brand New,,,$47.98,Free Shipping,,2 Watching
"Professional Sound Studio Mixer 12Channel, USB Recording Interface, D Amplifier",Brand New,,,$399.95,Free Shipping,,
Professional USB Podcast Condenser Microphone PC Recording MIC With Stand Tripod,Brand New,,,$29.99,Free Shipping,,
Audio Tech AT2020 Condenser Wired Professional Microphone,Pre-Owned,,,$99.00,,,
Professional Multi-Pattern USB Condenser Microphone Cool Black Microphones,Brand New,Was,7.98,$7.58,Free Shipping,,
Professional USB Condenser Microphone for PC Laptop Recording with Tripod,Brand New,,,$19.07,Free Shipping,,
BM-800 Professional Broadcasting Studio Recording Condenser Microphone Mic Kit,Brand New,List price,45.98,$24.98,Free Shipping,,
Professional Condenser Sound Microphone With Stand for PC Laptop Skype Recording,Brand New,,,$17.70,Free Shipping,,3 Watching
Professional Studio Broadcasting Condenser Microphone Recording Stand Mount Kit,Brand New,,,$47.98,Free Shipping,,2 Watching
Blue Microphones Yeti Professional USB Condenser Microphone - Midnight Blue,Brand New,,,$129.99,Free Shipping,,
Blue Microphones Yeti Professional USB Condenser Microphone - Midnight Blue,Pre-Owned,,,$79.59,,,
AKG Perception 120 USB Condenser Cable Professional Microphone,Brand New,,,$78.00,,,
SoundTech GN-USB Professional Gooseneck Microphone  *NIB,Open box,,,$30.00,,,2 Watching
New ListingBlue Yeti Professional USB Condenser Microphone - Midnight Blue w/ Pop Filter,Pre-Owned,,,$55.00,,,
Samson Meteor Condenser Wired - USB Professional Microphone (With Mic Filters),Pre-Owned,,,$45.00,,,
Nady Audio - USB-1C Condenser Microphone - Professional Grade Microphone ,Pre-Owned,,,$39.99,,,
